title,location,price,property_type,bedrooms,bathrooms,toilets,added_date,updated_date,url,city,page
Residential land for sale,"Entrance From Gilmore Yard, Jahi, Abuja","950,000,000",Residential Land,,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/jahi/3355158-jahi-district-abuja,abuja,5
4 bedroom terraced duplex for sale,"By Living Faith, Jahi, Abuja","255,000,000",Terraced Duplex,4,4,5,18 Feb 2026,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/jahi/3349288-newly-built-4-bedroom-terrace-duplex-with-bq,abuja,5
Residential land for sale,"Africa Medical Centre, Apo, Abuja","220,000,000",Residential Land,,,,22 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/apo/3355150-1hect,abuja,5
5 bedroom detached duplex for sale,"Life Camp, Abuja","310,000,000",Detached Duplex,5,6,6,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/life-camp/3355136-luxury-5-bedroom-fully-detached-duplex-with-bq,abuja,5
5 bedroom semi-detached duplex for sale,"Gwarinpa, Abuja","320,000,000",Semi-detached Duplex,5,5,6,22 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/abuja/gwarinpa/3355132-5bedroom-semi-detached-with-bq,abuja,5
Commercial land for sale,"Chikarore, Kubwa, Abuja","20,000,000",Commercial Land,,,,13 Feb 2026,13 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/commercial-land/abuja/kubwa/3341199-1000sqm-of-land-in-a-good-environment-buildable-and-livable,abuja,5
4 bedroom semi-detached duplex for sale,"Rock Hampton Estate, Maitama District, Abuja","540,000,000",Semi-detached Duplex,4,4,5,08 Nov 2025,08 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/abuja/maitama-district/3192211-4-bedroom-semi-detached-bq,abuja,5
Shop for sale,"Rock Of Ages Plaza, Utako, Abuja","50,000,000",Shop,,,1,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/commercial/shops/abuja/utako/3355104-shopoffice-space,abuja,5
4 bedroom detached duplex for sale,"Admiralty Estate, Asokoro District, Abuja","350,000,000",Detached Duplex,4,4,5,05 Jul 2025,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/asokoro-district/2960161-4-bedrooms-duplex-with-bq,abuja,5
4 bedroom detached duplex for sale,"Lokogoma District, Abuja","260,000,000",Detached Duplex,4,4,5,10 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/lokogoma-district/3337289-standard-4-bedrooms-duplex-with-bq,abuja,5
4 bedroom terraced duplex for sale,"Guzape District, Abuja","350,000,000",Terraced Duplex,4,4,5,29 Jan 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/guzape-district/3316798-affordable-4-bedroom-terrace-duplex-with-bq,abuja,5
4 bedroom terraced duplex for sale,"Guzape District, Abuja","400,000,000",Terraced Duplex,4,4,5,29 Jan 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/guzape-district/3318129-luxury-4-bedroom-terrace-duplex-with-bq,abuja,5
